lDRB,lEFG,lFTA,lFTP,lMOL,lMOV,lORB,lPOSS,lRPI,lTO,lTOF,l_id,lconfTournWins,ldEff,lname,lnumGamesPlayed,loEff,lwinsVsTourney,wDRB,wEFG,wFTA,wFTP,wMOL,wMOV,wORB,wPOSS,wRPI,wTO,wTOF,w_id,wconfTournWins,wdEff,wname,wnumGamesPlayed,woEff,wwinsVsTourney
24.6,0.43442623,17.63333333,0.666940571,4.634214578,16.88683511,12.66666667,65.82,24,15.63333333,16.1,1280_2003,3,87.04692762,Mississippi St,30,101.2446974,7,20.37931034,0.520408163,16.55172414,0.715224625,2.529054917,11.7892437,7.827586207,59.86206897,35,10.4137931,12,1139_2003,1,101.7901717,Butler,29,114.5230349,2
25.96296296,0.475806452,23.51851852,0.699857956,9.435587762,9.654652586,10.77777778,67.7037037,91,15.7037037,14.88888889,1358_2003,2,93.5665457,Sam Houston St,27,103.0512441,0,24.25806452,0.527777778,18.93548387,0.696720165,2.069295102,17.06298137,10.80645161,66.67096774,15,13.38709677,15.06451613,1196_2003,0,94.0294145,Florida,31,110.2040782,6
23.92857143,0.549180328,20.92857143,0.705167724,4.426603641,12.98350988,13.57142857,65.26428571,38,13.28571429,13.85714286,1104_2003,0,97.42449704,Alabama,28,103.6282379,5,25.625,0.641304348,22.625,0.704638511,5.64404654,12.61556083,11.21875,64.26875,47,11.5,10.5,1231_2003,2,99.20517038,Indiana,32,104.1441813,4
20.90625,0.546296296,22.625,0.697934076,15.052718,7.723937248,11.6875,67.20625,160,15.90625,16.84375,1237_2003,3,103.2244166,IUPUI,32,104.4962767,0,24.15625,0.602272727,20.78125,0.709655211,7.841269841,16.04492188,12.875,67.90625,1,14.0625,16.46875,1246_2003,4,93.22287868,Kentucky,32,112.75792,12
24.22222222,0.576086957,24,0.682295498,14.97917955,6.448784722,10.62962963,66.26666667,73,15.22222222,14,1122_2003,2,97.51597577,Austin Peay,27,100.7350493,1,25.1,0.4765625,25.1,0.690997004,2.278846154,18.5079599,13.2,71.04,11,13.36666667,17.4,1257_2003,4,96.31741242,Louisville,30,114.9969838,6
23.13333333,0.657407407,18.2,0.674932247,9.289788643,15.92041667,9.966666667,65.18,51,11.46666667,16.93333333,1423_2003,3,89.97668459,UNC Wilmington,30,107.8111583,1,26.75,0.522727273,21.57142857,0.688593819,4.680993789,25.97000633,13.75,72.34285714,37,14.10714286,18.32142857,1268_2003,0,91.74705745,Maryland,28,110.9812201,5
27.96774194,0.427083333,23.93548387,0.674697829,6.047487942,16.32121999,14.48387097,70.41290323,46,14,12.5483871,1160_2003,2,98.19878708,Colorado,31,105.6959408,6,24.25806452,0.45,22.12903226,0.714909136,4.850721683,15.44172171,10.67741935,63.81935484,31,14.5483871,14.29032258,1277_2003,2,94.21662928,Michigan St,31,103.9206796,7
24.18518519,0.8875,18.77777778,0.68669713,7.087301587,17.2026936,9.333333333,62.6962963,59,13,14.40740741,1335_2003,3,92.63097862,Penn,27,109.4589743,0,24.06896552,0.53,22.34482759,0.649846916,5.773135654,13.54337919,12.37931034,66.62758621,22,14.65517241,16.75862069,1329_2003,1,93.92760636,Oklahoma St,29,103.7403036,5
22.35483871,0.663793103,19.29032258,0.723838378,12.91655612,10.12603554,12,68.36129032,103,14.96774194,15.4516129,1447_2003,3,100.5013686,Wagner,31,106.4337057,0,25.36666667,0.572727273,22.8,0.639841178,1.796845054,19.79316165,11.3,66.42,8,15.1,16.16666667,1338_2003,4,84.67827844,Pittsburgh,30,107.1800776,4
24.51612903,0.554545455,19.87096774,0.64366434,5.14471663,20.92548295,10.61290323,66.27096774,39,13.87096774,15.5483871,1261_2003,3,95.49674761,LSU,31,111.2563731,5,23.46428571,0.35,25.5,0.747358394,7.917210394,17.16409002,10.39285714,68.02142857,30,13.82142857,16.39285714,1345_2003,1,95.42306953,Purdue,28,105.0516217,7
23.31034483,0.51754386,23.89655172,0.788438109,4.163118132,12.73161129,11.31034483,70.00689655,55,14.20689655,17.72413793,1264_2003,2,97.31461161,Manhattan,29,109.5157958,0,26.89655172,0.31875,23.62068966,0.687824439,7.712400531,14.24185464,14.31034483,70.96551724,9,13.62068966,14.44827586,1393_2003,2,98.52912934,Syracuse,29,112.7495412,5
23.17241379,0.560344828,20.93103448,0.766142129,19.10941528,4.722570533,12.27586207,69.09655172,186,16.20689655,12.82758621,1421_2003,2,111.7844081,UNC Asheville,29,101.6605682,0,26.14285714,0.535714286,23.78571429,0.715642155,2.481976486,15.28868291,16.17857143,69.19285714,4,13.42857143,14.17857143,1400_2003,1,98.46587142,Texas,28,113.0687248,4
24.5,0.62037037,20.65625,0.779248004,7.432020844,18.4006326,11.375,74.10625,50,15.21875,16.75,1332_2003,3,97.07439283,Oregon,32,107.6695283,4,23.2,0.424528302,18.8,0.689024299,7.633150617,12.0974615,10.13333333,60.82,16,12.7,12.56666667,1428_2003,2,96.31099227,Utah,30,106.9769471,7
24.03703704,0.658730159,24.81481481,0.728469031,10.879843,7.648736262,14,76.07407407,125,18.74074074,18.88888889,1190_2003,2,101.0070155,ETSU,27,103.9256111,1,26.93103448,0.5,26.62068966,0.75533043,3.553649013,16.42157967,14.75862069,68.23448276,7,15.10344828,13.62068966,1448_2003,2,97.4563016,Wake Forest,29,112.8842962,6
24.7,0.613207547,19.53333333,0.684374072,8.522318841,12.85553151,15.06666667,71.81333333,66,13.73333333,17.73333333,1407_2003,2,95.11959918,Troy,30,107.0897067,0,25.5,0.62244898,24.36666667,0.734605422,2.834432234,17.3354232,13.93333333,68.04666667,20,13.03333333,14,1462_2003,2,98.10988812,Xavier,30,116.2782772,6
25.32258065,0.537735849,24.64516129,0.717918362,4.047503776,13.87800708,11.93548387,67.92258065,43,14.5483871,14.87096774,1211_2003,1,99.42541843,Gonzaga,31,112.264987,5,27.64285714,0.460227273,25,0.70115378,0.68487395,17.58148148,15.17857143,75.32142857,2,14.78571429,16.85714286,1112_2003,1,92.06162506,Arizona,28,111.4105206,10
25.12903226,0.529850746,20.77419355,0.671515607,5.525860582,10.14065197,13.74193548,66.92258065,21,14.32258065,13.06451613,1390_2003,1,102.6680313,Stanford,31,110.7708466,8,27.9,0.55,22.1,0.669885942,4.342060585,17.36487967,14.76666667,72.07333333,28,15.8,13.36666667,1163_2003,3,97.4632949,Connecticut,30,109.1578198,5
23.27586207,0.702380952,25.17241379,0.762740584,11.18961353,10.42342141,10.5862069,70.4137931,44,18.24137931,16.06896552,1141_2003,4,103.3801674,C Michigan,29,111.938246,0,23.1,0.598214286,28.06666667,0.695480707,2.47200498,16.94659139,13.76666667,71.82666667,12,14.03333333,17.83333333,1181_2003,3,94.58499033,Duke,30,109.9113677,6
23.31034483,0.514492754,26.20689655,0.675667474,9.906862061,15.69475187,13.68965517,67.68965517,32,14,15.51724138,1113_2003,1,104.17711,Arizona St,29,114.520186,4,26.9,0.408333333,24.13333333,0.661631264,5.867986111,23.58170915,14.3,72.55333333,6,14.9,17.3,1242_2003,2,90.29626284,Kansas,30,110.6369323,9
25.90322581,0.490384615,18.16129032,0.65013963,5.861168051,14.61601189,13.48387097,66.58709677,17,13.61290323,13.19354839,1281_2003,3,96.90190838,Missouri,31,104.4663377,6,24.07142857,0.62037037,23.60714286,0.778502735,4.381286895,15.30364491,13.10714286,66.15714286,10,13.57142857,12.5,1266_2003,1,103.1610018,Marquette,28,119.6066099,5
25.4,0.584745763,19.1,0.719997642,1.713321766,19.32836111,9.733333333,66.87333333,18,13.16666667,14.83333333,1228_2003,4,90.17294356,Illinois,30,110.744806,6,26.87096774,0.651785714,22.83870968,0.741360453,3.531123411,17.15814498,11.38709677,71.2,14,12.77419355,13.06451613,1323_2003,1,99.4783585,Notre Dame,31,111.94108,5
24.37931034,0.526785714,19.51724138,0.688631737,4.549481556,10.31977356,11.24137931,69.46206897,33,14.17241379,14.93103448,1143_2003,1,97.81489161,California,29,104.3819966,4,24.96666667,0.552083333,18.6,0.714350734,6.35779321,15.39918274,12.13333333,63.64,3,11.8,13.7,1328_2003,3,92.66384389,Oklahoma,30,109.5292643,8
25.80645161,0.518867925,19.38709677,0.729671629,3.504357639,13.71879099,11.16129032,67.9483871,64,14.32258065,14.41935484,1409_2003,4,95.59384087,Tulsa,31,107.7063296,0,22.55172414,0.5,19.44827586,0.731805888,3.754525862,19.10951291,10.31034483,61.88275862,25,10.51724138,13.96551724,1458_2003,0,91.4986692,Wisconsin,29,110.1579333,5
26.93103448,0.5,26.62068966,0.75533043,3.553649013,16.42157967,14.75862069,68.23448276,7,15.10344828,13.62068966,1448_2003,2,97.4563016,Wake Forest,29,112.8842962,6,22.56666667,0.422413793,19.73333333,0.652662691,10.06816058,17.19471558,11.93333333,66.56,36,15.9,15.8,1120_2003,1,95.34538533,Auburn,30,101.5250741,4
25.1,0.4765625,25.1,0.690997004,2.278846154,18.5079599,13.2,71.04,11,13.36666667,17.4,1257_2003,4,96.31741242,Louisville,30,114.9969838,6,20.37931034,0.520408163,16.55172414,0.715224625,2.529054917,11.7892437,7.827586207,59.86206897,35,10.4137931,12,1139_2003,1,101.7901717,Butler,29,114.5230349,2
23.2,0.424528302,18.8,0.689024299,7.633150617,12.0974615,10.13333333,60.82,16,12.7,12.56666667,1428_2003,2,96.31099227,Utah,30,106.9769471,7,24.15625,0.602272727,20.78125,0.709655211,7.841269841,16.04492188,12.875,67.90625,1,14.0625,16.46875,1246_2003,4,93.22287868,Kentucky,32,112.75792,12
25.5,0.62244898,24.36666667,0.734605422,2.834432234,17.3354232,13.93333333,68.04666667,20,13.03333333,14,1462_2003,2,98.10988812,Xavier,30,116.2782772,6,26.75,0.522727273,21.57142857,0.688593819,4.680993789,25.97000633,13.75,72.34285714,37,14.10714286,18.32142857,1268_2003,0,91.74705745,Maryland,28,110.9812201,5
24.25806452,0.527777778,18.93548387,0.696720165,2.069295102,17.06298137,10.80645161,66.67096774,15,13.38709677,15.06451613,1196_2003,0,94.0294145,Florida,31,110.2040782,6,24.25806452,0.45,22.12903226,0.714909136,4.850721683,15.44172171,10.67741935,63.81935484,31,14.5483871,14.29032258,1277_2003,2,94.21662928,Michigan St,31,103.9206796,7
25.625,0.641304348,22.625,0.704638511,5.64404654,12.61556083,11.21875,64.26875,47,11.5,10.5,1231_2003,2,99.20517038,Indiana,32,104.1441813,4,25.36666667,0.572727273,22.8,0.639841178,1.796845054,19.79316165,11.3,66.42,8,15.1,16.16666667,1338_2003,4,84.67827844,Pittsburgh,30,107.1800776,4
24.06896552,0.53,22.34482759,0.649846916,5.773135654,13.54337919,12.37931034,66.62758621,22,14.65517241,16.75862069,1329_2003,1,93.92760636,Oklahoma St,29,103.7403036,5,26.89655172,0.31875,23.62068966,0.687824439,7.712400531,14.24185464,14.31034483,70.96551724,9,13.62068966,14.44827586,1393_2003,2,98.52912934,Syracuse,29,112.7495412,5
23.46428571,0.35,25.5,0.747358394,7.917210394,17.16409002,10.39285714,68.02142857,30,13.82142857,16.39285714,1345_2003,1,95.42306953,Purdue,28,105.0516217,7,26.14285714,0.535714286,23.78571429,0.715642155,2.481976486,15.28868291,16.17857143,69.19285714,4,13.42857143,14.17857143,1400_2003,1,98.46587142,Texas,28,113.0687248,4
26.87096774,0.651785714,22.83870968,0.741360453,3.531123411,17.15814498,11.38709677,71.2,14,12.77419355,13.06451613,1323_2003,1,99.4783585,Notre Dame,31,111.94108,5,27.64285714,0.460227273,25,0.70115378,0.68487395,17.58148148,15.17857143,75.32142857,2,14.78571429,16.85714286,1112_2003,1,92.06162506,Arizona,28,111.4105206,10
23.1,0.598214286,28.06666667,0.695480707,2.47200498,16.94659139,13.76666667,71.82666667,12,14.03333333,17.83333333,1181_2003,3,94.58499033,Duke,30,109.9113677,6,26.9,0.408333333,24.13333333,0.661631264,5.867986111,23.58170915,14.3,72.55333333,6,14.9,17.3,1242_2003,2,90.29626284,Kansas,30,110.6369323,9
22.55172414,0.5,19.44827586,0.731805888,3.754525862,19.10951291,10.31034483,61.88275862,25,10.51724138,13.96551724,1458_2003,0,91.4986692,Wisconsin,29,110.1579333,5,24.15625,0.602272727,20.78125,0.709655211,7.841269841,16.04492188,12.875,67.90625,1,14.0625,16.46875,1246_2003,4,93.22287868,Kentucky,32,112.75792,12
25.36666667,0.572727273,22.8,0.639841178,1.796845054,19.79316165,11.3,66.42,8,15.1,16.16666667,1338_2003,4,84.67827844,Pittsburgh,30,107.1800776,4,24.07142857,0.62037037,23.60714286,0.778502735,4.381286895,15.30364491,13.10714286,66.15714286,10,13.57142857,12.5,1266_2003,1,103.1610018,Marquette,28,119.6066099,5
26.75,0.522727273,21.57142857,0.688593819,4.680993789,25.97000633,13.75,72.34285714,37,14.10714286,18.32142857,1268_2003,0,91.74705745,Maryland,28,110.9812201,5,24.25806452,0.45,22.12903226,0.714909136,4.850721683,15.44172171,10.67741935,63.81935484,31,14.5483871,14.29032258,1277_2003,2,94.21662928,Michigan St,31,103.9206796,7
20.37931034,0.520408163,16.55172414,0.715224625,2.529054917,11.7892437,7.827586207,59.86206897,35,10.4137931,12,1139_2003,1,101.7901717,Butler,29,114.5230349,2,24.96666667,0.552083333,18.6,0.714350734,6.35779321,15.39918274,12.13333333,63.64,3,11.8,13.7,1328_2003,3,92.66384389,Oklahoma,30,109.5292643,8
22.56666667,0.422413793,19.73333333,0.652662691,10.06816058,17.19471558,11.93333333,66.56,36,15.9,15.8,1120_2003,1,95.34538533,Auburn,30,101.5250741,4,26.89655172,0.31875,23.62068966,0.687824439,7.712400531,14.24185464,14.31034483,70.96551724,9,13.62068966,14.44827586,1393_2003,2,98.52912934,Syracuse,29,112.7495412,5
27.9,0.55,22.1,0.669885942,4.342060585,17.36487967,14.76666667,72.07333333,28,15.8,13.36666667,1163_2003,3,97.4632949,Connecticut,30,109.1578198,5,26.14285714,0.535714286,23.78571429,0.715642155,2.481976486,15.28868291,16.17857143,69.19285714,4,13.42857143,14.17857143,1400_2003,1,98.46587142,Texas,28,113.0687248,4
27.64285714,0.460227273,25,0.70115378,0.68487395,17.58148148,15.17857143,75.32142857,2,14.78571429,16.85714286,1112_2003,1,92.06162506,Arizona,28,111.4105206,10,26.9,0.408333333,24.13333333,0.661631264,5.867986111,23.58170915,14.3,72.55333333,6,14.9,17.3,1242_2003,2,90.29626284,Kansas,30,110.6369323,9
24.15625,0.602272727,20.78125,0.709655211,7.841269841,16.04492188,12.875,67.90625,1,14.0625,16.46875,1246_2003,4,93.22287868,Kentucky,32,112.75792,12,24.07142857,0.62037037,23.60714286,0.778502735,4.381286895,15.30364491,13.10714286,66.15714286,10,13.57142857,12.5,1266_2003,1,103.1610018,Marquette,28,119.6066099,5
24.96666667,0.552083333,18.6,0.714350734,6.35779321,15.39918274,12.13333333,63.64,3,11.8,13.7,1328_2003,3,92.66384389,Oklahoma,30,109.5292643,8,26.89655172,0.31875,23.62068966,0.687824439,7.712400531,14.24185464,14.31034483,70.96551724,9,13.62068966,14.44827586,1393_2003,2,98.52912934,Syracuse,29,112.7495412,5
24.25806452,0.45,22.12903226,0.714909136,4.850721683,15.44172171,10.67741935,63.81935484,31,14.5483871,14.29032258,1277_2003,2,94.21662928,Michigan St,31,103.9206796,7,26.14285714,0.535714286,23.78571429,0.715642155,2.481976486,15.28868291,16.17857143,69.19285714,4,13.42857143,14.17857143,1400_2003,1,98.46587142,Texas,28,113.0687248,4
24.07142857,0.62037037,23.60714286,0.778502735,4.381286895,15.30364491,13.10714286,66.15714286,10,13.57142857,12.5,1266_2003,1,103.1610018,Marquette,28,119.6066099,5,26.9,0.408333333,24.13333333,0.661631264,5.867986111,23.58170915,14.3,72.55333333,6,14.9,17.3,1242_2003,2,90.29626284,Kansas,30,110.6369323,9
26.14285714,0.535714286,23.78571429,0.715642155,2.481976486,15.28868291,16.17857143,69.19285714,4,13.42857143,14.17857143,1400_2003,1,98.46587142,Texas,28,113.0687248,4,26.89655172,0.31875,23.62068966,0.687824439,7.712400531,14.24185464,14.31034483,70.96551724,9,13.62068966,14.44827586,1393_2003,2,98.52912934,Syracuse,29,112.7495412,5
26.9,0.408333333,24.13333333,0.661631264,5.867986111,23.58170915,14.3,72.55333333,6,14.9,17.3,1242_2003,2,90.29626284,Kansas,30,110.6369323,9,26.89655172,0.31875,23.62068966,0.687824439,7.712400531,14.24185464,14.31034483,70.96551724,9,13.62068966,14.44827586,1393_2003,2,98.52912934,Syracuse,29,112.7495412,5
24.42857143,0.539215686,19.82142857,0.736454255,11.98079731,8.548915545,11.17857143,65.35714286,194,14.64285714,13.89285714,1250_2004,3,94.50321538,Lehigh,28,97.84330495,0,22.53333333,0.563829787,24.53333333,0.716862641,14.58524945,6.953586735,11.43333333,71.08,262,16.93333333,18.6,1197_2004,3,98.22325741,Florida A&M,30,96.26396873,0
22.20689655,0.527777778,18.44827586,0.680748807,1.722094508,11.03296703,13.20689655,65.4137931,25,12.06896552,17,1356_2004,1,95.36905787,S Illinois,29,108.0556795,1,24,0.575,21.86206897,0.702764623,8.096940671,12.23956044,11.31034483,65.71034483,26,13.27586207,13.44827586,1104_2004,1,102.7473892,Alabama,29,109.8552548,3
24.9,0.528846154,18.16666667,0.687911856,12.56851501,8.812498578,11.63333333,64.13333333,115,12.56666667,13,1436_2004,3,96.46758011,Vermont,30,103.1747157,0,29.48484848,0.475806452,20.21212121,0.624387334,4.677787423,21.12156416,15.3030303,69.20606061,5,13.78787879,12.42424242,1163_2004,3,89.88569965,Connecticut,33,111.0970736,8
25.78125,0.455357143,21.6875,0.662855615,4.047423618,8.419369832,12.21875,62.83125,40,14.28125,10.53125,1173_2004,3,99.72399573,Dayton,32,105.6337805,5,23.76666667,0.382352941,20.6,0.700440184,7.076979911,9.188835851,12.06666667,64.17333333,37,13.43333333,12.4,1177_2004,3,101.1763013,DePaul,30,106.1067555,5
22.76666667,0.490740741,22.46666667,0.660911767,11.89400585,19.35826087,11.7,63.22,230,17.2,15.33333333,1106_2004,4,95.26530914,Alabama St,30,96.65045811,1,22.84375,0.55,23.84375,0.724375108,3.056780134,18.90876507,13.40625,68.7875,1,14.1875,17.71875,1181_2004,3,96.44947852,Duke,32,118.5542088,14
26.51724138,0.575,24.5862069,0.711314,10.22337093,6.589341693,11.89655172,69.86896552,139,16.17241379,13.24137931,1434_2004,3,102.2955449,Valparaiso,29,103.3822968,1,27.93103448,0.609090909,23.48275862,0.755840817,7,17.36637931,11.55172414,67.77241379,9,13.55172414,13,1211_2004,2,95.03311409,Gonzaga,29,118.6629147,3
24.93333333,0.669811321,19.8,0.745138472,4.297013859,17.3152898,10.23333333,68.15333333,13,14.66666667,13.56666667,1196_2004,2,95.38294079,Florida,30,105.760992,9,22.68965517,0.441666667,26.10344828,0.749596129,5.766214178,14.82820197,12.17241379,66.47586207,42,13,16.93103448,1264_2004,2,94.63498512,Manhattan,29,110.8924274,1
24.06896552,0.4296875,24.34482759,0.738268601,9.236607581,16.11088929,10.27586207,67.53103448,46,13.55172414,15.89655172,1431_2004,2,98.55188441,UTEP,29,110.7752375,1,25.73333333,0.514925373,25.7,0.621440824,5.720425121,15.98954327,15.76666667,73.31333333,18,15.13333333,17.33333333,1268_2004,4,97.47584327,Maryland,30,105.1811635,7
21.37931034,0.65625,19.5862069,0.730594506,7.731672377,12.82872802,9.103448276,63.83448276,39,14.62068966,13.96551724,1277_2004,1,101.5552261,Michigan St,29,107.9017166,1,25.46666667,0.365671642,23.93333333,0.710304768,7.580725727,16.15683585,13.4,67.94,29,13,14.26666667,1305_2004,4,96.62023836,Nevada,30,110.3139354,5
15.35714286,0.551282051,15.71428571,0.688276014,7.01412845,16.8069798,6.142857143,52.96428571,70,10.78571429,16.42857143,1102_2004,1,94.09333118,Air Force,28,112.1122626,3,24.64285714,0.477272727,25.42857143,0.676384653,2.776711123,15.80668732,15.35714286,74.56428571,19,15.64285714,18.42857143,1314_2004,0,98.42745416,North Carolina,28,108.3389253,7
25.68965517,0.4921875,21.75862069,0.785290318,2.937506631,16.71772069,13.89655172,74.77241379,41,14.96551724,15.62068966,1112_2004,2,102.522627,Arizona,29,114.2714083,3,25.32142857,0.390909091,19.67857143,0.709502063,6.66904524,16.67011765,11.78571429,66.08571429,28,13.14285714,13.25,1371_2004,1,96.07253994,Seton Hall,28,107.7043429,6
24.16129032,0.572368421,19.4516129,0.687817389,15.41992187,11.0203936,13.22580645,68.2,165,15.80645161,15.35483871,1251_2004,1,97.19796407,Liberty,31,99.74470166,0,23.25,0.5,19.46428571,0.715516682,0.714285714,17.62962963,9.678571429,66.60714286,3,11.71428571,16.57142857,1386_2004,0,91.94415964,St Joseph's PA,28,116.2694269,6
25.14285714,0.544642857,23.96428571,0.690526307,10.78776126,10.88980655,12.35714286,70.83571429,200,17.10714286,15.39285714,1427_2004,4,104.298127,UT San Antonio,28,103.722525,0,25.2,0.614754098,20.83333333,0.75693317,0.481481481,14.14230769,11.1,66,7,13.96666667,14.7,1390_2004,3,91.33796406,Stanford,30,111.1981335,6
